3,4,5,6,7,8,9,10
"5,59","10,35","13,9","19,03","26,42","32,46","42,03","46,11"
"5,59","10,7","13,93","19,67","26,78","33,15","42,06","46,15"
"5,59","10,01","13,76","17,52","24,2","35,62","40,5","46,2"
"5,59","8,92","13,41","19,57","25,16","34,55","42,5","46,25"
"5,59","7,58","14,36","20,31","26,37","34,52","40,65","46,3"
"5,59","9,3","12,99","19,95","26,54","32,3","40,81","46,34"
"5,59","10,9","14,56",19,"27,23","29,8","42,21","46,4"
"5,6","7,9","14,14","20,57","24,84","33,25","39,34","46,46"
"5,59","8,04","12,35","19,73","25,09","31,96","39,35","46,49"
"5,61","10,86","12,4","20,12","26,21","31,59","43,07","46,9"
"5,6","6,97","15,15","20,68","26,81","31,81","40,49","47,79"
"5,59","9,44","14,39","19,57","24,61","35,51","42,19","45,93"
"5,62","7,28","13,36","18,51","26,2","32,84","41,56","47,93"
"5,64","8,2","14,89","19,76","25,32","32,87","42,37","46,15"
"5,6","8,94","14,56","20,52","24,8","29,53","38,65","47,42"
"5,61","7,74","14,37","20,45","24,18","33,39","40,01","46,16"
"5,6","7,79","14,19","19,8","28,15","35,22","43,16","47,31"
"5,64","8,75","13,14","19,31","27,04","33,88","42,2","47,04"
"5,61","9,29","12,94","18,16","25,85",35,"43,46","47,51"
"5,64","7,86","11,71","18,56","26,62","32,79","39,47","48,46"
"5,67","7,9","12,71","17,12","23,51","31,58","41,31","46,08"
"5,6","9,01","13,36","18,05","23,27","33,25","40,19","46,9"
"5,61","9,1","12,13","20,29","23,25","32,12","36,07","47,18"
"5,59","7,48","13,46","17,86","28,5","35,03","40,79","47,98"
"5,63","7,01","14,26","19,97","26,1","30,75","34,89",48
"5,61","7,2","11,14","19,62","24,58","32,5","38,6","45,6"
"5,59","9,01","12,2","19,24","25,85","32,38","38,58","47,67"
"5,61","9,12","12,22","19,68","26,62","33,27","39,66",47
"5,65","8,27","13,82","19,15","23,51","33,66","40,91","47,4"
"5,61","8,28","12,92","17,28","25,45","34,12","40,72","47,79"
"5,6","9,48","13,71","17,4","26,69","33,87","41,49","47,09"
"5,61","8,09","12,55","18,93","23,27","30,18","40,9","47,48"
"5,6","7,04","13,71","20,34","24,18","33,67","40,05","46,08"
"5,62","8,88","13,64","19,86","28,15","31,82","38,32","45,59"
"5,59","8,5","13,19","19,14","27,04","32,95","40,17","48,09"
"5,65","8,8","12,61","18,4","25,85","34,24","40,92","47,91"
"5,64","6,83","12,31","18,13","26,62","33,21","39,05","47,2"
"5,6","8,9","12,42","18,48","23,51","33,92","40,54","48,13"
"5,63","7,39","13,66","17,56","23,27","32,65","39,49","47,72"
"5,62","9,39","13,69","19,81","23,25","30,09","39,64","47,5"
"5,65","7,85","12,4","19,28","28,5","32,2","38,41","47,37"
"5,61","8,26","12,63","18,84","26,1","33,19","38,01","47,14"
"5,59","7,92","13,48","19,65","24,58","31,8",39,"47,44"
"5,6","8,82","13,67","18,06","25,82","32,77","40,29","47,44"
"5,62","8,07","13,33","18,02","26,6","30,03","37,63","47,48"
"5,59","9,1","14,23","20,34","23,54","31,4","41,12","47,5"
"5,63","9,68","12,75","19,03","25,94","31,27","37,89","47,51"
"5,6","8,3","12,42","18,12","25,53","32,13","39,17","47,67"
"5,62","9,07","13,52","19,41","25,77","30,85","40,53","47,69"
"5,63","7,67","14,05","19,59","25,69","30,82","38,23","47,72"
"5,63","8,21","13,22","15,66","26,83","33,27","39,21","47,73"
"5,63","8,12","12,76","18,9","25,54","29,37","41,06","47,79"
"5,63","8,07","13,3","17,99","24,34","32,39","37,2","47,79"
"5,64","8,99","14,27","19,49","24,79","27,79","39,05","47,91"
"5,64","9,7","13,26","19,46","23,62","31,08","39,14","47,93"
"5,64","8,42","12,77","20,17","24,83","34,08","35,71","47,96"
"5,64","8,6","12,82","18,77","25,87","32,29","40,31","47,98"
"5,64","8,58","13,33","17,18","26,4","30,35","40,19","47,99"
"5,64","8,09","12,92","18,65","23,84","33,86","39,74",48
"5,64","8,61","11,93","16,27","24,99","31,45","39,69","48,03"